narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes
577,R0-P02,R0-P02_04,00:00:00.000,00:00:00.000,00:00:00.000,2665,3034,"6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.","6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.",7,"6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.",7,"['6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.']",[7]
578,R0-P02,R0-P02_04,00:00:00.000,00:00:00.000,00:00:00.000,3035,3435,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,8,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,8,['7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.'],[8]
579,R0-P02,R0-P02_04,00:00:00.000,00:00:00.000,00:00:00.000,3436,4006,"8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.","8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.",9,"8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.",9,"['8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.']",[9]
580,R0-P02,R0-P02_04,00:00:00.000,00:00:00.000,00:00:00.000,4007,4148,"9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.","9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.",10,"9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.",10,"['9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.']",[10]
581,R0-P02,R0-P02_04,00:00:00.000,00:00:00.000,00:00:00.000,4149,4352,"10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.","10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.",11,"10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.",11,"['10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.']",[11]
582,R0-P02,R0-P02_04,00:00:00.000,00:00:00.000,00:00:00.000,4353,6465,11. Continue slicing with floss to create 5 pinwheels.,11. Continue slicing with floss to create 5 pinwheels.,12,11. Continue slicing with floss to create 5 pinwheels.,12,['11. Continue slicing with floss to create 5 pinwheels.'],[12]
583,R0-P02,R0-P02_04,00:00:00.000,00:00:00.000,00:00:00.000,6466,6778,12. Place the pinwheels on a plate.,12. Place the pinwheels on a plate.,13,12. Place the pinwheels on a plate.,13,['12. Place the pinwheels on a plate.'],[13]
584,R0-P02,R0-P02_04,00:00:00.000,00:00:00.000,00:00:00.000,6779,6900,13. end.,13. end.,1,13. end.,1,['13. end.'],[1]
585,R0-P18,R0-P18_19,00:00:00.000,00:00:00.000,00:00:00.000,0,53,0. start.,0. start.,0,0. start.,0,['0. start.'],[0]
586,R0-P18,R0-P18_19,00:00:00.000,00:00:00.000,00:00:00.000,54,357,1. Place tortilla on cutting board.,1. Place tortilla on cutting board.,2,1. Place tortilla on cutting board.,2,['1. Place tortilla on cutting board.'],[2]
587,R0-P18,R0-P18_19,00:00:00.000,00:00:00.000,00:00:00.000,358,1116,"2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.","2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.",3,"2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.",3,"['2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.']",[3]
588,R0-P18,R0-P18_19,00:00:00.000,00:00:00.000,00:00:00.000,1117,1238,3. Clean the knife by wiping with a paper towel.,3. Clean the knife by wiping with a paper towel.,4,3. Clean the knife by wiping with a paper towel.,4,['3. Clean the knife by wiping with a paper towel.'],[4]
589,R0-P18,R0-P18_19,00:00:00.000,00:00:00.000,00:00:00.000,1239,2004,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,5,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,5,['4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.'],[5]
590,R0-P18,R0-P18_19,00:00:00.000,00:00:00.000,00:00:00.000,2005,2122,5. Clean the knife by wiping with a paper towel.,5. Clean the knife by wiping with a paper towel.,6,5. Clean the knife by wiping with a paper towel.,6,['5. Clean the knife by wiping with a paper towel.'],[6]
591,R0-P18,R0-P18_19,00:00:00.000,00:00:00.000,00:00:00.000,2123,2369,"6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.","6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.",7,"6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.",7,"['6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.']",[7]
592,R0-P18,R0-P18_19,00:00:00.000,00:00:00.000,00:00:00.000,2370,2998,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,8,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,8,['7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.'],[8]
593,R0-P18,R0-P18_19,00:00:00.000,00:00:00.000,00:00:00.000,2999,3356,"8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.","8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.",9,"8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.",9,"['8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.']",[9]
594,R0-P18,R0-P18_19,00:00:00.000,00:00:00.000,00:00:00.000,3357,3577,"9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.","9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.",10,"9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.",10,"['9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.']",[10]
595,R0-P18,R0-P18_19,00:00:00.000,00:00:00.000,00:00:00.000,3578,3947,"10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.","10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.",11,"10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.",11,"['10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.']",[11]
596,R0-P18,R0-P18_19,00:00:00.000,00:00:00.000,00:00:00.000,3948,4691,11. Continue slicing with floss to create 5 pinwheels.,11. Continue slicing with floss to create 5 pinwheels.,12,11. Continue slicing with floss to create 5 pinwheels.,12,['11. Continue slicing with floss to create 5 pinwheels.'],[12]
597,R0-P18,R0-P18_19,00:00:00.000,00:00:00.000,00:00:00.000,4692,4913,12. Place the pinwheels on a plate.,12. Place the pinwheels on a plate.,13,12. Place the pinwheels on a plate.,13,['12. Place the pinwheels on a plate.'],[13]
598,R0-P18,R0-P18_19,00:00:00.000,00:00:00.000,00:00:00.000,4914,4982,13. end.,13. end.,1,13. end.,1,['13. end.'],[1]
599,R0-P01,R0-P01_04,00:00:00.000,00:00:00.000,00:00:00.000,0,8,0. start.,0. start.,0,0. start.,0,['0. start.'],[0]
600,R0-P01,R0-P01_04,00:00:00.000,00:00:00.000,00:00:00.000,9,19,1. Place tortilla on cutting board.,1. Place tortilla on cutting board.,2,1. Place tortilla on cutting board.,2,['1. Place tortilla on cutting board.'],[2]
601,R0-P01,R0-P01_04,00:00:00.000,00:00:00.000,00:00:00.000,20,311,"2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.","2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.",3,"2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.",3,"['2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.']",[3]
602,R0-P01,R0-P01_04,00:00:00.000,00:00:00.000,00:00:00.000,312,437,3. Clean the knife by wiping with a paper towel.,3. Clean the knife by wiping with a paper towel.,4,3. Clean the knife by wiping with a paper towel.,4,['3. Clean the knife by wiping with a paper towel.'],[4]
603,R0-P01,R0-P01_04,00:00:00.000,00:00:00.000,00:00:00.000,438,712,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,5,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,5,['4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.'],[5]
604,R0-P01,R0-P01_04,00:00:00.000,00:00:00.000,00:00:00.000,713,735,5. Clean the knife by wiping with a paper towel.,5. Clean the knife by wiping with a paper towel.,6,5. Clean the knife by wiping with a paper towel.,6,['5. Clean the knife by wiping with a paper towel.'],[6]
605,R0-P01,R0-P01_04,00:00:00.000,00:00:00.000,00:00:00.000,736,831,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,8,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,8,['7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.'],[8]
606,R0-P01,R0-P01_04,00:00:00.000,00:00:00.000,00:00:00.000,832,841,"8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.","8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.",9,"8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.",9,"['8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.']",[9]
607,R0-P01,R0-P01_04,00:00:00.000,00:00:00.000,00:00:00.000,842,938,"9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.","9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.",10,"9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.",10,"['9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.']",[10]
608,R0-P01,R0-P01_04,00:00:00.000,00:00:00.000,00:00:00.000,939,1014,"10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.","10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.",11,"10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.",11,"['10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.']",[11]
609,R0-P01,R0-P01_04,00:00:00.000,00:00:00.000,00:00:00.000,1015,1160,11. Continue slicing with floss to create 5 pinwheels.,11. Continue slicing with floss to create 5 pinwheels.,12,11. Continue slicing with floss to create 5 pinwheels.,12,['11. Continue slicing with floss to create 5 pinwheels.'],[12]
610,R0-P01,R0-P01_04,00:00:00.000,00:00:00.000,00:00:00.000,1161,1239,12. Place the pinwheels on a plate.,12. Place the pinwheels on a plate.,13,12. Place the pinwheels on a plate.,13,['12. Place the pinwheels on a plate.'],[13]
611,R0-P01,R0-P01_04,00:00:00.000,00:00:00.000,00:00:00.000,1240,1315,13. end.,13. end.,1,13. end.,1,['13. end.'],[1]
612,R1-P14,R1-P14_06,00:00:00.000,00:00:00.000,00:00:00.000,0,107,0. start.,0. start.,0,0. start.,0,['0. start.'],[0]
613,R1-P14,R1-P14_06,00:00:00.000,00:00:00.000,00:00:00.000,108,557,1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.,1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.,14,1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.,14,['1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.'],[14]
614,R1-P14,R1-P14_06,00:00:00.000,00:00:00.000,00:00:00.000,558,674,"2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.","2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.",15,"2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.",15,"['2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.']",[15]
615,R1-P14,R1-P14_06,00:00:00.000,00:00:00.000,00:00:00.000,675,1267,"3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone","3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone",16,"3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone",16,"['3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone']",[16]
616,R1-P14,R1-P14_06,00:00:00.000,00:00:00.000,00:00:00.000,1268,5695,"4. Weigh the coffee beans and grind until the coffee grounds are the consistency of course sand, about 20 seconds. Transfer the grounds to the filter cone.","4. Weigh the coffee beans and grind until the coffee grounds are the consistency of course sand, about 20 seconds. Transfer the grounds to the filter cone.",17,"4. Weigh the coffee beans and grind until the coffee grounds are the consistency of course sand, about 20 seconds. Transfer the grounds to the filter cone.",17,"['4. Weigh the coffee beans and grind until the coffee grounds are the consistency of course sand, about 20 seconds. Transfer the grounds to the filter cone.']",[17]
617,R1-P14,R1-P14_06,00:00:00.000,00:00:00.000,00:00:00.000,5696,6529,"5. Once the water has boiled, check the temperature. The water should be between 195-205 degrees Fahrenheit or between 91-96 degrees Celsius. If the water is too hot, let it cool briefly.","5. Once the water has boiled, check the temperature. The water should be between 195-205 degrees Fahrenheit or between 91-96 degrees Celsius. If the water is too hot, let it cool briefly.",18,"5. Once the water has boiled, check the temperature. The water should be between 195-205 degrees Fahrenheit or between 91-96 degrees Celsius. If the water is too hot, let it cool briefly.",18,"['5. Once the water has boiled, check the temperature. The water should be between 195-205 degrees Fahrenheit or between 91-96 degrees Celsius. If the water is too hot, let it cool briefly.']",[18]
618,R1-P14,R1-P14_06,00:00:00.000,00:00:00.000,00:00:00.000,6530,7188,"6. Pour a small amount of water in the filter to wet the grounds. Wait for coffee to bloom, about 30 seconds. You will see small bubbles or foam on the coffee grounds during this step.","6. Pour a small amount of water in the filter to wet the grounds. Wait for coffee to bloom, about 30 seconds. You will see small bubbles or foam on the coffee grounds during this step.",19,"6. Pour a small amount of water in the filter to wet the grounds. Wait for coffee to bloom, about 30 seconds. You will see small bubbles or foam on the coffee grounds during this step.",19,"['6. Pour a small amount of water in the filter to wet the grounds. Wait for coffee to bloom, about 30 seconds. You will see small bubbles or foam on the coffee grounds during this step.']",[19]
619,R1-P14,R1-P14_06,00:00:00.000,00:00:00.000,00:00:00.000,7189,8556,7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.,7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.,20,7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.,20,['7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.'],[20]
620,R1-P14,R1-P14_06,00:00:00.000,00:00:00.000,00:00:00.000,8557,9792,8. Let the coffee drain completely into the mug before removing the dripper. Discard the paper filter and coffee grounds.,8. Let the coffee drain completely into the mug before removing the dripper. Discard the paper filter and coffee grounds.,21,8. Let the coffee drain completely into the mug before removing the dripper. Discard the paper filter and coffee grounds.,21,['8. Let the coffee drain completely into the mug before removing the dripper. Discard the paper filter and coffee grounds.'],[21]
621,R1-P14,R1-P14_06,00:00:00.000,00:00:00.000,00:00:00.000,9793,9921,9. end.,9. end.,1,9. end.,1,['9. end.'],[1]
622,R1-P11,R1-P11_10,00:00:00.000,00:00:00.000,00:00:00.000,0,693,1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.,1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.,14,1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.,14,['1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.'],[14]
623,R1-P11,R1-P11_10,00:00:00.000,00:00:00.000,00:00:00.000,694,719,"2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.","2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.",15,"2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.",15,"['2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.']",[15]
624,R1-P11,R1-P11_10,00:00:00.000,00:00:00.000,00:00:00.000,720,1686,"3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone","3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone",16,"3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone",16,"['3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone']",[16]
625,R1-P11,R1-P11_10,00:00:00.000,00:00:00.000,00:00:00.000,1687,2905,"6. Pour a small amount of water in the filter to wet the grounds. Wait for coffee to bloom, about 30 seconds. You will see small bubbles or foam on the coffee grounds during this step.","6. Pour a small amount of water in the filter to wet the grounds. Wait for coffee to bloom, about 30 seconds. You will see small bubbles or foam on the coffee grounds during this step.",19,"6. Pour a small amount of water in the filter to wet the grounds. Wait for coffee to bloom, about 30 seconds. You will see small bubbles or foam on the coffee grounds during this step.",19,"['6. Pour a small amount of water in the filter to wet the grounds. Wait for coffee to bloom, about 30 seconds. You will see small bubbles or foam on the coffee grounds during this step.']",[19]
626,R1-P11,R1-P11_10,00:00:00.000,00:00:00.000,00:00:00.000,2906,7264,"5. Once the water has boiled, check the temperature. The water should be between 195-205 degrees Fahrenheit or between 91-96 degrees Celsius. If the water is too hot, let it cool briefly.","5. Once the water has boiled, check the temperature. The water should be between 195-205 degrees Fahrenheit or between 91-96 degrees Celsius. If the water is too hot, let it cool briefly.",18,"5. Once the water has boiled, check the temperature. The water should be between 195-205 degrees Fahrenheit or between 91-96 degrees Celsius. If the water is too hot, let it cool briefly.",18,"['5. Once the water has boiled, check the temperature. The water should be between 195-205 degrees Fahrenheit or between 91-96 degrees Celsius. If the water is too hot, let it cool briefly.']",[18]
627,R1-P11,R1-P11_10,00:00:00.000,00:00:00.000,00:00:00.000,7265,8052,7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.,7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.,20,7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.,20,['7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.'],[20]
628,R1-P11,R1-P11_10,00:00:00.000,00:00:00.000,00:00:00.000,8053,11747,8. Let the coffee drain completely into the mug before removing the dripper. Discard the paper filter and coffee grounds.,8. Let the coffee drain completely into the mug before removing the dripper. Discard the paper filter and coffee grounds.,21,8. Let the coffee drain completely into the mug before removing the dripper. Discard the paper filter and coffee grounds.,21,['8. Let the coffee drain completely into the mug before removing the dripper. Discard the paper filter and coffee grounds.'],[21]
629,R0-P01,R0-P01_09,00:00:00.000,00:00:00.000,00:00:00.000,0,95,0. start.,0. start.,0,0. start.,0,['0. start.'],[0]
630,R0-P01,R0-P01_09,00:00:00.000,00:00:00.000,00:00:00.000,96,251,1. Place tortilla on cutting board.,1. Place tortilla on cutting board.,2,1. Place tortilla on cutting board.,2,['1. Place tortilla on cutting board.'],[2]
631,R0-P01,R0-P01_09,00:00:00.000,00:00:00.000,00:00:00.000,252,1037,"2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.","2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.",3,"2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.",3,"['2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.']",[3]
632,R0-P01,R0-P01_09,00:00:00.000,00:00:00.000,00:00:00.000,1038,1161,3. Clean the knife by wiping with a paper towel.,3. Clean the knife by wiping with a paper towel.,4,3. Clean the knife by wiping with a paper towel.,4,['3. Clean the knife by wiping with a paper towel.'],[4]
633,R0-P01,R0-P01_09,00:00:00.000,00:00:00.000,00:00:00.000,1162,1833,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,5,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,5,['4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.'],[5]
634,R0-P01,R0-P01_09,00:00:00.000,00:00:00.000,00:00:00.000,1834,1987,5. Clean the knife by wiping with a paper towel.,5. Clean the knife by wiping with a paper towel.,6,5. Clean the knife by wiping with a paper towel.,6,['5. Clean the knife by wiping with a paper towel.'],[6]
635,R0-P01,R0-P01_09,00:00:00.000,00:00:00.000,00:00:00.000,1988,2213,"6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.","6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.",7,"6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.",7,"['6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.']",[7]
636,R0-P01,R0-P01_09,00:00:00.000,00:00:00.000,00:00:00.000,2214,2569,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,8,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,8,['7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.'],[8]
637,R0-P01,R0-P01_09,00:00:00.000,00:00:00.000,00:00:00.000,2570,2791,"8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.","8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.",9,"8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.",9,"['8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.']",[9]
638,R0-P01,R0-P01_09,00:00:00.000,00:00:00.000,00:00:00.000,2792,2923,"9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.","9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.",10,"9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.",10,"['9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.']",[10]
639,R0-P01,R0-P01_09,00:00:00.000,00:00:00.000,00:00:00.000,2924,3061,"10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.","10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.",11,"10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.",11,"['10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.']",[11]
640,R0-P01,R0-P01_09,00:00:00.000,00:00:00.000,00:00:00.000,3062,3773,11. Continue slicing with floss to create 5 pinwheels.,11. Continue slicing with floss to create 5 pinwheels.,12,11. Continue slicing with floss to create 5 pinwheels.,12,['11. Continue slicing with floss to create 5 pinwheels.'],[12]
641,R0-P01,R0-P01_09,00:00:00.000,00:00:00.000,00:00:00.000,3774,3920,12. Place the pinwheels on a plate.,12. Place the pinwheels on a plate.,13,12. Place the pinwheels on a plate.,13,['12. Place the pinwheels on a plate.'],[13]
642,R0-P01,R0-P01_09,00:00:00.000,00:00:00.000,00:00:00.000,3921,3984,13. end.,13. end.,1,13. end.,1,['13. end.'],[1]
643,R1-P11,R1-P11_02,00:00:00.000,00:00:00.000,00:00:00.000,0,731,1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.,1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.,14,1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.,14,['1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.'],[14]
644,R1-P11,R1-P11_02,00:00:00.000,00:00:00.000,00:00:00.000,732,871,"2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.","2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.",15,"2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.",15,"['2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.']",[15]
645,R1-P11,R1-P11_02,00:00:00.000,00:00:00.000,00:00:00.000,872,1569,"3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone","3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone",16,"3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone",16,"['3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone']",[16]
